,nome,cpf,idade,data,endereco,estado,pais
0,Camila da Mota,026.513.478-17,31,29/01/1993,"Núcleo de Azevedo, 59
Parque São Pedro
27276-809 Garcia de Pimenta / SE","Viaduto Isabel Costela
Bacurau
36047879 Azevedo / BA",Brasil
1,Agatha Rocha,613.850.794-01,33,08/02/1991,"Alameda Daniel Barros, 48
Grajaú
24917-876 Barros / CE","Campo de Silveira
Jardim Montanhês
43387-374 Andrade / RJ",Brasil
2,Mirella Barbosa,178.540.329-04,30,01/02/1994,"Alameda Sousa
Vila Madre Gertrudes 2ª Seção
77116832 Barbosa da Prata / GO","Morro de Cunha, 3
Vila Aeroporto Jaraguá
18715151 Moura / PR",Brasil
3,Lucas Gabriel Pinto,890.531.472-41,22,20/07/2002,"Viaduto Marques, 44
Boa União 1ª Seção
21295-189 da Luz de Pires / ES","Praça Stella da Cruz, 80
Vista Alegre
07930-669 Brito do Oeste / SE",Brasil
4,Dra. Allana Teixeira,461.239.705-34,41,17/02/1983,"Praia de Freitas, 4
São Gonçalo
94677458 Freitas de Sampaio / TO","Rodovia Igor Barbosa, 135
Camponesa 2ª Seção
92369-959 das Neves / AM",Brasil
5,Maria Luísa Silveira,286.071.435-90,52,23/03/1972,"Pátio Gabriela Barros, 1
Pindura Saia
46343-370 Almeida / AC","Lago de Guerra, 10
Vila Madre Gertrudes 2ª Seção
53804-383 Brito / AC",Brasil
6,Vinicius Sales,760.284.593-56,23,29/06/2001,"Chácara de Oliveira, 78
Cidade Jardim Taquaril
03961-919 Araújo do Norte / SP","Lago da Mata, 25
Canadá
24421-963 Pires Grande / MS",Brasil
7,Davi da Mata,249.386.105-15,31,03/06/1993,"Trevo Maysa Mendes, 948
Santana Do Cafezal
45824-338 Sá de Freitas / RR","Largo Clarice Casa Grande, 93
União
06037-257 Lima / RR",Brasil
8,Pedro Henrique Sampaio,513.760.942-07,45,28/05/1979,"Vale de Castro, 79
São Tomaz
30474669 Marques dos Dourados / DF","Viaduto Abreu, 26
Baleia
15978-016 Brito de Goiás / AL",Brasil
9,Felipe Garcia,623.785.049-00,32,29/09/1992,"Recanto de da Costa, 523
Vista Do Sol
21115113 Farias do Galho / MG","Colônia Ana Luiza Moura, 23
Granja Werneck
17706995 Moura / PA",Brasil
10,Heloísa das Neves,425.061.873-08,58,12/05/1966,"Morro da Mota, 24
Frei Leopoldo
78436-176 Vasconcelos do Norte / SP","Vale Sophia Lopes, 92
São João Batista
70322723 Ribeiro Grande / SE",Brasil
11,Isabella Cunha,820.496.513-33,37,10/11/1987,"Trecho Cirino, 10
São Gabriel
28560827 da Luz Paulista / AM","Feira Almeida, 8
Coqueiros
69901-681 Montenegro de Cavalcanti / ES",Brasil
12,Anthony Gabriel Pinto,184.723.905-60,41,27/01/1983,"Esplanada Gabrielly Teixeira, 348
Guarani
74556637 Silva / PE","Praça Mariah Brito, 11
Marmiteiros
28361-808 Câmara / MA",Brasil
13,Maria Liz Pacheco,856.730.129-77,29,20/12/1995,"Aeroporto Erick Rezende, 118
João Alfredo
17266807 Aparecida / TO","Núcleo Luiz Gustavo Pacheco, 608
Vila Nova Paraíso
14206-082 Cavalcante das Pedras / MA",Brasil
14,Sr. Henry Santos,896.351.072-77,42,07/12/1982,"Quadra de Lima, 2
Aparecida
29717-663 Porto / AM","Estrada de Ramos, 88
São Bernardo
56383-176 Abreu de Novais / CE",Brasil
15,Daniel Cavalcante,831.456.279-37,44,30/04/1980,"Travessa Kevin Fogaça, 73
Antonio Ribeiro De Abreu 1ª Seção
50162-888 Pinto Alegre / SP","Conjunto Marcos Vinicius Gomes, 4
Goiania
23303-447 Câmara / ES",Brasil
16,Theodoro Casa Grande,297.561.034-34,22,12/09/2002,"Estação Maysa Monteiro, 75
Vila Real 1ª Seção
42371-104 Gomes de Silveira / RO","Avenida João Vitor Carvalho, 27
Guarani
65132-361 Porto de Minas / ES",Brasil
17,Lavínia Nogueira,864.931.502-05,25,03/10/1999,"Viaduto Souza, 82
Cdi Jatoba
91833141 Marques / AM","Rua Ana Carolina Viana, 75
Renascença
66639-553 Monteiro da Serra / CE",Brasil
18,Carlos Eduardo Sá,682.470.935-29,22,06/11/2002,"Viela de Alves, 86
Varzea Da Palma
34883160 da Cruz / PA","Viaduto Duarte, 35
Granja De Freitas
91128-591 Nunes / RS",Brasil
19,Rafael Melo,426.138.790-50,18,24/01/2007,"Residencial de Sousa, 14
Leonina
98446042 Cavalcanti do Galho / MA","Avenida de Caldeira, 1
Tres Marias
32647-099 Cavalcante de Lima / TO",Brasil
20,Sara Andrade,031.859.427-79,37,08/07/1987,"Vereda Moraes, 622
Lagoa
58565283 Nogueira Verde / RJ","Conjunto Valentina Cavalcanti, 46
Nossa Senhora Do Rosário
67683282 Rezende / MT",Brasil
21,Dra. Laís da Mota,867.123.094-50,60,06/11/1964,"Largo de da Rosa, 478
Vila Primeiro De Maio
07961-294 Pires / RN","Esplanada de Farias, 38
Havaí
77683140 Nascimento / MS",Brasil
